product,sku,stock_qty,reorder_level,unit_cost,retail_price,supplier,warehouse,last_restocked
Wireless Headphones,SKU-WIRELESS878,393,14,36.25,129.99,QualityGoods Ltd.,WH-B,2024-10-14
USB-C Hub Adapter,SKU-USB-CHUB677,394,47,13.36,49.99,FastShip LLC,WH-C,2024-11-11
Mechanical Keyboard,SKU-MECHANIC254,230,14,48.66,159.99,FastShip LLC,WH-B,2024-10-25
"27"" Monitor","SKU-27""MONIT157",185,42,126.67,449.99,QualityGoods Ltd.,WH-B,2024-11-29
Laptop Stand,SKU-LAPTOPST158,193,28,12.69,59.99,TechDist Co.,WH-C,2024-10-24
Webcam HD 1080p,SKU-WEBCAMHD619,201,39,28.7,89.99,TechDist Co.,WH-B,2024-10-04
Mouse Pad XL,SKU-MOUSEPAD929,297,22,7.44,29.99,QualityGoods Ltd.,WH-C,2024-11-22
External SSD 1TB,SKU-EXTERNAL163,235,16,51.46,119.99,FastShip LLC,WH-C,2024-11-26
Desk Lamp LED,SKU-DESKLAMP616,335,21,14.41,64.99,QualityGoods Ltd.,WH-B,2024-10-29
Cable Management Kit,SKU-CABLEMAN635,317,20,6.61,24.99,FastShip LLC,WH-B,2024-11-05
Bluetooth Speaker,SKU-BLUETOOT893,178,48,16.62,79.99,FastShip LLC,WH-A,2024-11-10
Phone Stand,SKU-PHONESTA196,290,34,4.85,19.99,GlobalParts Inc.,WH-B,2024-11-26
Screen Protector,SKU-SCREENPR696,344,19,5.39,14.99,FastShip LLC,WH-C,2024-10-18
Power Bank 20000mAh,SKU-POWERBAN778,205,18,17.35,54.99,TechDist Co.,WH-B,2024-10-27
HDMI Cable 6ft,SKU-HDMICABL485,334,31,5.79,16.99,TechDist Co.,WH-C,2024-10-20
